n_total,follow_up_years,events_exposed,events_control,events_total,power,meets_80pct_power
500,1.0,10.4,8.0,18.4,0.0812,0
500,2.0,20.8,16.0,36.8,0.1222,0
500,3.0,31.2,24.0,55.2,0.1622,0
500,5.0,52.0,40.0,92.0,0.2414,0
1000,1.0,20.8,16.0,36.8,0.1222,0
1000,2.0,41.6,32.0,73.6,0.202,0
1000,3.0,62.4,48.0,110.4,0.2804,0
1000,5.0,104.0,80.0,184.0,0.4284,0
1500,1.0,31.2,24.0,55.2,0.1622,0
1500,2.0,62.4,48.0,110.4,0.2804,0
1500,3.0,93.6,72.0,165.6,0.3929,0
1500,5.0,156.0,120.0,276.0,0.5868,0
2000,1.0,41.6,32.0,73.6,0.202,0
2000,2.0,83.2,64.0,147.2,0.3563,0
2000,3.0,124.8,96.0,220.8,0.4957,0
2000,5.0,208.0,160.0,368.0,0.7111,0
2500,1.0,52.0,40.0,92.0,0.2414,0
2500,2.0,104.0,80.0,184.0,0.4284,0
2500,3.0,156.0,120.0,276.0,0.5868,0
2500,5.0,260.0,200.0,460.0,0.8033,1
3000,1.0,62.4,48.0,110.4,0.2804,0
3000,2.0,124.8,96.0,220.8,0.4957,0
3000,3.0,187.2,144.0,331.2,0.6655,0
3000,5.0,312.0,240.0,552.0,0.8691,1
3500,1.0,72.8,56.0,128.8,0.3188,0
3500,2.0,145.6,112.0,257.6,0.5578,0
3500,3.0,218.4,168.0,386.4,0.7319,0
3500,5.0,364.0,280.0,644.0,0.9145,1
4000,1.0,83.2,64.0,147.2,0.3563,0
4000,2.0,166.4,128.0,294.4,0.6144,0
4000,3.0,249.6,192.0,441.6,0.7872,0
4000,5.0,416.0,320.0,736.0,0.9451,1
4500,1.0,93.6,72.0,165.6,0.3929,0
4500,2.0,187.2,144.0,331.2,0.6655,0
4500,3.0,280.8,216.0,496.8,0.8325,1
4500,5.0,468.0,360.0,828.0,0.9652,1
5000,1.0,104.0,80.0,184.0,0.4284,0
5000,2.0,208.0,160.0,368.0,0.7111,0
5000,3.0,312.0,240.0,552.0,0.8691,1
5000,5.0,520.0,400.0,920.0,0.9783,1
5500,1.0,114.4,88.0,202.4,0.4627,0
5500,2.0,228.8,176.0,404.8,0.7515,0
5500,3.0,343.2,264.0,607.2,0.8984,1
5500,5.0,572.0,440.0,1012.0,0.9866,1
6000,1.0,124.8,96.0,220.8,0.4957,0
6000,2.0,249.6,192.0,441.6,0.7872,0
6000,3.0,374.4,288.0,662.4,0.9217,1
6000,5.0,624.0,480.0,1104.0,0.9918,1
6500,1.0,135.2,104.0,239.2,0.5275,0
6500,2.0,270.4,208.0,478.4,0.8184,1
6500,3.0,405.6,312.0,717.6,0.9399,1
6500,5.0,676.0,520.0,1196.0,0.995,1
7000,1.0,145.6,112.0,257.6,0.5578,0
7000,2.0,291.2,224.0,515.2,0.8456,1
7000,3.0,436.8,336.0,772.8,0.9542,1
7000,5.0,728.0,560.0,1288.0,0.997,1
7500,1.0,156.0,120.0,276.0,0.5868,0
7500,2.0,312.0,240.0,552.0,0.8691,1
7500,3.0,468.0,360.0,828.0,0.9652,1
7500,5.0,780.0,600.0,1380.0,0.9982,1
8000,1.0,166.4,128.0,294.4,0.6144,0
8000,2.0,332.8,256.0,588.8,0.8894,1
8000,3.0,499.2,384.0,883.2,0.9737,1
8000,5.0,832.0,640.0,1472.0,0.9989,1
8500,1.0,176.8,136.0,312.8,0.6406,0
8500,2.0,353.6,272.0,625.6,0.9068,1
8500,3.0,530.4,408.0,938.4,0.9802,1
8500,5.0,884.0,680.0,1564.0,0.9994,1
9000,1.0,187.2,144.0,331.2,0.6655,0
9000,2.0,374.4,288.0,662.4,0.9217,1
9000,3.0,561.6,432.0,993.6,0.9852,1
9000,5.0,936.0,720.0,1656.0,0.9996,1
9500,1.0,197.6,152.0,349.6,0.6889,0
9500,2.0,395.2,304.0,699.2,0.9343,1
9500,3.0,592.8,456.0,1048.8,0.9889,1
9500,5.0,988.0,760.0,1748.0,0.9998,1
10000,1.0,208.0,160.0,368.0,0.7111,0
10000,2.0,416.0,320.0,736.0,0.9451,1
10000,3.0,624.0,480.0,1104.0,0.9918,1
10000,5.0,1040.0,800.0,1840.0,0.9999,1
10500,1.0,218.4,168.0,386.4,0.7319,0
10500,2.0,436.8,336.0,772.8,0.9542,1
10500,3.0,655.2,504.0,1159.2,0.9939,1
10500,5.0,1092.0,840.0,1932.0,0.9999,1
11000,1.0,228.8,176.0,404.8,0.7515,0
11000,2.0,457.6,352.0,809.6,0.9619,1
11000,3.0,686.4,528.0,1214.4,0.9955,1
11000,5.0,1144.0,880.0,2024.0,1.0,1
11500,1.0,239.2,184.0,423.2,0.77,0
11500,2.0,478.4,368.0,846.4,0.9683,1
11500,3.0,717.6,552.0,1269.6,0.9967,1
11500,5.0,1196.0,920.0,2116.0,1.0,1
12000,1.0,249.6,192.0,441.6,0.7872,0
12000,2.0,499.2,384.0,883.2,0.9737,1
12000,3.0,748.8,576.0,1324.8,0.9976,1
12000,5.0,1248.0,960.0,2208.0,1.0,1
12500,1.0,260.0,200.0,460.0,0.8033,1
12500,2.0,520.0,400.0,920.0,0.9783,1
12500,3.0,780.0,600.0,1380.0,0.9982,1
12500,5.0,1300.0,1000.0,2300.0,1.0,1
13000,1.0,270.4,208.0,478.4,0.8184,1
13000,2.0,540.8,416.0,956.8,0.982,1
13000,3.0,811.2,624.0,1435.2,0.9987,1
13000,5.0,1352.0,1040.0,2392.0,1.0,1
13500,1.0,280.8,216.0,496.8,0.8325,1
13500,2.0,561.6,432.0,993.6,0.9852,1
13500,3.0,842.4,648.0,1490.4,0.999,1
13500,5.0,1404.0,1080.0,2484.0,1.0,1
14000,1.0,291.2,224.0,515.2,0.8456,1
14000,2.0,582.4,448.0,1030.4,0.9878,1
14000,3.0,873.6,672.0,1545.6,0.9993,1
14000,5.0,1456.0,1120.0,2576.0,1.0,1
14500,1.0,301.6,232.0,533.6,0.8578,1
14500,2.0,603.2,464.0,1067.2,0.99,1
14500,3.0,904.8,696.0,1600.8,0.9995,1
14500,5.0,1508.0,1160.0,2668.0,1.0,1
15000,1.0,312.0,240.0,552.0,0.8691,1
15000,2.0,624.0,480.0,1104.0,0.9918,1
15000,3.0,936.0,720.0,1656.0,0.9996,1
15000,5.0,1560.0,1200.0,2760.0,1.0,1
15500,1.0,322.4,248.0,570.4,0.8796,1
15500,2.0,644.8,496.0,1140.8,0.9933,1
15500,3.0,967.2,744.0,1711.2,0.9997,1
15500,5.0,1612.0,1240.0,2852.0,1.0,1
16000,1.0,332.8,256.0,588.8,0.8894,1
16000,2.0,665.6,512.0,1177.6,0.9945,1
16000,3.0,998.4,768.0,1766.4,0.9998,1
16000,5.0,1664.0,1280.0,2944.0,1.0,1
16500,1.0,343.2,264.0,607.2,0.8984,1
16500,2.0,686.4,528.0,1214.4,0.9955,1
16500,3.0,1029.6,792.0,1821.6,0.9999,1
16500,5.0,1716.0,1320.0,3036.0,1.0,1
17000,1.0,353.6,272.0,625.6,0.9068,1
17000,2.0,707.2,544.0,1251.2,0.9963,1
17000,3.0,1060.8,816.0,1876.8,0.9999,1
17000,5.0,1768.0,1360.0,3128.0,1.0,1
17500,1.0,364.0,280.0,644.0,0.9145,1
17500,2.0,728.0,560.0,1288.0,0.997,1
17500,3.0,1092.0,840.0,1932.0,0.9999,1
17500,5.0,1820.0,1400.0,3220.0,1.0,1
18000,1.0,374.4,288.0,662.4,0.9217,1
18000,2.0,748.8,576.0,1324.8,0.9976,1
18000,3.0,1123.2,864.0,1987.2,0.9999,1
18000,5.0,1872.0,1440.0,3312.0,1.0,1
18500,1.0,384.8,296.0,680.8,0.9282,1
18500,2.0,769.6,592.0,1361.6,0.998,1
18500,3.0,1154.4,888.0,2042.4,1.0,1
18500,5.0,1924.0,1480.0,3404.0,1.0,1
19000,1.0,395.2,304.0,699.2,0.9343,1
19000,2.0,790.4,608.0,1398.4,0.9984,1
19000,3.0,1185.6,912.0,2097.6,1.0,1
19000,5.0,1976.0,1520.0,3496.0,1.0,1
19500,1.0,405.6,312.0,717.6,0.9399,1
19500,2.0,811.2,624.0,1435.2,0.9987,1
19500,3.0,1216.8,936.0,2152.8,1.0,1
19500,5.0,2028.0,1560.0,3588.0,1.0,1
20000,1.0,416.0,320.0,736.0,0.9451,1
20000,2.0,832.0,640.0,1472.0,0.9989,1
20000,3.0,1248.0,960.0,2208.0,1.0,1
20000,5.0,2080.0,1600.0,3680.0,1.0,1
